brewery_id,brewery-name,city,state
408,10 Barrel Brewing Company,Bend,OR
177,18th Street Brewery,Gary,IN
154,2 Towns Ciderhouse,Corvallis,OR
368,21st Amendment Brewery,San Francisco,CA
67,3 Daughters Brewing,St Petersburg,FL
60,4 Hands Brewing Company,Saint Louis,MO
27,450 North Brewing Company,Columbus,IN
481,7 Seas Brewing Company,Gig Harbor,WA
373,7venth Sun,Dunedin,FL
462,AC Golden Brewing Company,Golden,CO
533,Abita Brewing Company,Abita Springs,LA
62,Against The Grain Brewery,Louisville,KY
1,Against the Grain Brewery,Louisville,KY
367,Airways Brewing Company,Kent,WA
117,Alameda Brewing,Portland,OR
270,Alaskan Brewing Company,Juneau,AK
73,Ale Asylum,Madison,WI
388,Alltech's Lexington Brewing Company,Lexington,KY
401,Amnesia Brewing Company,Washougal,WA
35,Anchor Brewing Company,San Francisco,CA
171,Anderson Valley Brewing Company,Boonville,CA
146,Angry Minnow,Hayward,WI
542,Angry Minnow Brewing Company,Hayward,WI
434,Angry Orchard Cider Company,Cincinnati,OH
193,Anthem Brewing Company,Oklahoma City,OK
69,Appalachian Mountain Brewery,Boone,NC
541,Arcadia Brewing Company,Battle Creek,MI
513,Arctic Craft Brewery,Colorado Springs,CO
426,Armadillo Ale Works,Denton,TX
461,Armstrong Brewing Company,South San Francisco,CA
429,Asher Brewing Company,Boulder,CO
528,Asheville Brewing Company,Asheville,NC
353,Aslan Brewing Company,Bellingham,WA
523,Aspen Brewing Company,Aspen,CO
374,Astoria Brewing Company,Astoria,OR
72,Atwater Brewery,Detroit,MI
413,Austin Beerworks,Austin,TX
37,Avery Brewing Company,Boulder,CO
360,Aviator Brewing Company,Fuquay-Varina,NC
235,Back East Brewing Company,Bloomfield,CT
286,Back Forty Beer Company,Gadsden,AL
483,Bale Breaker Brewing Company,Yakima,WA
34,Ballast Point Brewing Company,San Diego,CA
318,Banner Beer Company,Williamsburg,MA
20,Bare Hands Brewery,Granger,IN
251,Barrio Brewing Company,Tucson,AZ
116,Base Camp Brewing Co.,Portland,OR
258,Bauhaus Brew Labs,Minneapolis,MN
292,Baxter Brewing Company,Lewiston,ME
306,Beach Brewing Company,Virginia Beach,VA
103,Beer Works Brewery,Lowell,MA
76,Bell's Brewery,Kalamazoo,MI
53,Bent Brewstillery,Roseville,MN
75,Bent Paddle Brewing Company,Duluth,MN
278,Berkshire Brewing Company,South Deerfield,MA
463,Big Bend Brewing Company,Alpine,TX
220,Big Choice Brewing,Broomfield,CO
477,Big Elm Brewing,Sheffield,MA
8,Big Lake Brewing,Holland,MI
40,Big Muddy Brewing,Murphysboro,IL
519,Big River Brewing Company,Chattanooga,TN
336,Big Sky Brewing Company,Missoula,MT
221,Big Storm Brewing Company,Odessa,FL
444,Big Wood Brewery,Vadnais Heights,MN
70,Birdsong Brewing Company,Charlotte,NC
407,Bitter Root Brewing,Hamilton,MT
18,Black Acre Brewing Co.,Indianapolis,IN
112,Black Market Brewing Company,Temecula,CA
294,Black Shirt Brewing Company,Denver,CO
79,Black Tooth Brewing Company,Sheridan,WY
95,Blackrocks Brewery,Marquette,MA
12,Blackrocks Brewery,Marquette,MI
380,Blue Blood Brewing Company,Lincoln,NE
422,Blue Dog Mead,Eugene,OR
304,Blue Hills Brewery,Canton,MA
382,Blue Mountain Brewery,Afton,VA
414,Blue Mountain Brewery,Arrington,VA
77,Blue Owl Brewing,Austin,TX
489,Blue Point Brewing Company,Patchogue,NY
364,Bohemian Brewery,Midvale,UT
378,Bold City Brewery,Jacksonville,FL
281,Bolero Snort Brewery,Ridgefield Park,NJ
525,Bomb Beer Company,New York,NY
107,Bonfire Brewing Company,Eagle,CO
231,Borderlands Brewing Company,Tucson,AZ
300,Boston Beer Company,Boston,MA
417,Boulder Beer Company,Boulder,CO
31,Boulevard Brewing Company,Kansas City,MO
167,Boxcar Brewing Company,West Chester,PA
219,Bozeman Brewing Company,Bozeman,MT
207,Branchline Brewing Company,San Antonio,TX
195,Breakside Brewery,Portland,OR
391,Breckenridge Brewery,Denver,CO
308,Brew Bus Brewing,Tampa,FL
19,Brew Link Brewing,Plainfield,IN
85,Brewery Terra Firma,Traverse City,MI
10,Brewery Vivant,Grand Rapids,MI
467,Brindle Dog Brewing Company,Tampa Bay,FL
89,Broad Brook Brewing LLC,East Windsor,CT
493,Broken Tooth Brewing Company,Anchorage,AK
437,Brooklyn Brewery,Brooklyn,NY
530,Buckbean Brewing Company,Reno,NV
357,Buckeye Brewing,Cleveland,OH
56,BuckleDown Brewing,Lyons,IL
214,Buffalo Bayou Brewing Company,Houston,TX
24,Burn 'Em Brewing,Michigan City,IN
197,Burnside Brewing Co.,Portland,OR
517,Butcher's Brewing,Carlsbad,CA
556,Butternuts Beer and Ale,Garrattsville,NY
5,COAST Brewing Company,Charleston,SC
182,COOP Ale Works,Oklahoma City,OK
155,Caldera Brewing Company,Ashland,OR
178,Cambridge Brewing Company,Cambridge,MA
497,Cans Bar and Canteen,Charlotte,NC
230,Cape Ann Brewing Company,Gloucester,MA
267,Cape Cod Beer,Hyannis,MA
192,Capital Brewery,Middleton,WI
504,Carolina Beer & Beverage,Mooresville,NC
179,Carolina Brewery,Pittsboro,NC
222,Carton Brewing Company,Atlantic Highlands,NJ
404,Cascadia Ciderworks United,Portland,OR
331,Catawba Brewing Company,Morganton,NC
285,Catawba Island Brewing,Port Clinton,OH
96,Catawba Valley Brewing Company,Morganton,NC
29,Cedar Creek Brewery,Seven Points,TX
452,Centennial Beer Company,Edwards,CO
122,Center of the Universe Brewing C...,Ashland,VA
350,Central Coast Brewing Company,San Luis Obispo,CA
236,Champion Brewing Company,Charlottesville,VA
250,Chapman's Brewing,Angola,IN
226,Chatham Brewing,Chatham,NY
121,Cheboygan Brewing Company,Cheboygan,MI
99,Christian Moerlein Brewing Company,Cincinnati,OH
526,Churchkey Can Company,Seattle,WA
425,Ciderboys,Stevens Point,WI
141,Cigar City Brewing Company,Tampa,FL
145,Cisco Brewers,Nantucket,MA
320,Claremont Craft Ales,Claremont,CA
418,Coalition Brewing Company,Portland,OR
